date, pm25, pm10, o3, no2, so2, co
2020/4/1, 122, , 23, 4, 6, 
2020/4/2, 97, , 27, 3, 7, 
2020/4/3, 67, , 28, 3, 7, 
2020/4/4, 91, , , , , 
2020/4/6, 99, , 24, 3, 8, 
2020/4/7, 107, , 25, 4, 4, 
2020/4/8, 93, , 29, 3, 4, 
2020/4/9, 86, , 31, 8, 11, 
2020/4/10, 111, , 31, 16, 10, 
2020/4/11, 145, , 26, 8, 8, 
2020/4/12, 116, , 28, 12, 16, 
2020/4/13, 121, , 31, 11, 9, 
2020/4/14, 136, , 12, 12, 10, 
2020/4/15, 151, , , , , 
2020/3/1, 112, , 24, 23, 4, 
2020/3/2, 146, , 5, 42, 6, 
2020/3/3, 167, , 24, 23, 7, 
2020/3/4, 153, , 22, 14, 4, 
2020/3/5, 134, , 20, 13, 4, 
2020/3/6, 129, , 20, 13, 3, 
2020/3/7, 86, , 22, 15, 3, 
2020/3/8, 107, , 24, 20, 4, 
2020/3/9, 124, , 20, 19, 5, 
2020/3/10, 185, , 23, 14, 7, 
2020/3/11, 151, , 26, 20, 10, 
2020/3/12, 158, , 16, 13, 5, 
2020/3/13, 108, , 18, 20, 5, 
2020/3/14, 120, , 20, 14, 5, 
2020/3/15, 139, , 24, 27, 5, 
2020/3/16, 124, , 30, 23, 12, 
2020/3/17, 134, , 27, 25, 11, 
2020/3/18, 145, , 29, 27, 18, 
2020/3/19, 158, , 30, 28, 12, 
2020/3/20, 160, , 21, 14, 10, 
2020/3/21, 117, , 25, 11, 8, 
2020/3/22, 129, , 27, 10, 8, 
2020/3/23, 144, , 28, 11, 8, 
2020/3/24, 158, , 20, 5, 7, 
2020/3/25, 124, , 19, 4, 6, 
2020/3/26, 100, , 12, 4, 8, 
2020/3/27, 115, , 22, 3, 6, 
2020/3/28, 91, , 21, 2, 6, 
2020/3/29, 78, , 24, 3, 7, 
2020/3/30, 87, , 26, 5, 7, 
2020/3/31, 109, , 27, 5, 7, 
2020/2/1, 179, , 25, 27, 12, 
2020/2/2, 169, , 27, 37, 8, 
2020/2/3, 207, , 24, 44, 8, 
2020/2/4, 254, , 28, 34, 6, 
2020/2/5, 181, , 27, 29, 7, 
2020/2/6, 175, , 26, 24, 6, 
2020/2/7, 174, , 27, 34, 8, 
2020/2/8, 209, , 30, 41, 9, 
2020/2/9, 240, , 31, 45, 8, 
2020/2/10, 200, , 32, 43, 15, 
2020/2/11, 238, , 34, 43, 10, 
2020/2/12, 218, , 24, 26, 13, 
2020/2/13, 159, , 28, 19, 10, 
2020/2/14, 137, , 27, 31, 13, 
2020/2/15, 126, , 30, 35, 10, 
2020/2/16, 169, , 30, 37, 7, 
2020/2/17, 168, , 32, 40, 13, 
2020/2/18, 169, , 31, 45, 10, 
2020/2/19, 184, , 27, 20, 7, 
2020/2/20, 160, , 26, 14, 6, 
2020/2/21, 174, , 18, 23, 5, 
2020/2/22, 154, , 23, 23, 5, 
2020/2/23, 175, , 21, 24, 4, 
2020/2/24, 164, , 21, 20, 3, 
2020/2/25, 98, , 25, 25, 3, 
2020/2/26, 136, , 26, 23, 4, 
2020/2/27, 138, , 22, 21, 4, 
2020/2/28, 140, , 24, 20, 5, 
2020/2/29, 154, , 22, 18, 4, 
2020/1/1, 418, , 13, 33, 8, 
2020/1/2, 294, , 12, 19, 4, 
2020/1/3, 189, , 11, 23, 4, 
2020/1/4, 175, , 15, 22, 10, 
2020/1/5, 199, , 18, 36, 17, 
2020/1/6, 206, , 18, 27, 6, 
2020/1/7, 222, , 11, 18, 4, 
2020/1/8, 211, , 10, 23, 5, 
2020/1/9, 181, , 10, 27, 11, 
2020/1/10, 222, , 5, 34, 15, 
2020/1/11, 283, , 25, 38, 13, 
2020/1/12, 333, , 12, 31, 6, 
2020/1/13, 335, , 21, 27, 12, 
2020/1/14, 241, , 7, 30, 4, 
2020/1/15, 245, , 11, 17, 2, 
2020/1/16, 118, , 11, 27, 8, 
2020/1/17, 203, , 7, 28, 6, 
2020/1/18, 177, , 14, 25, 5, 
2020/1/19, 170, , 25, 24, 7, 
2020/1/20, 201, , 16, 27, 5, 
2020/1/21, 232, , 16, 26, 5, 
2020/1/22, 212, , 21, 19, 5, 
2020/1/23, 156, , 23, 29, 8, 
2020/1/24, 161, , 25, 38, 13, 
2020/1/25, 225, , 31, 33, 9, 
2020/1/26, 233, , 33, 44, 22, 
2020/1/27, 283, , 23, 28, 10, 
2020/1/28, 224, , 19, 17, 6, 
2020/1/29, 219, , 22, 23, 6, 
2020/1/30, 145, , 23, 29, 12, 
2020/1/31, 160, , 28, 33, 7, 
2019/10/1, 99, , 13, 14, 2, 
2019/10/2, 77, , 12, 17, 4, 
2019/10/3, 102, , 20, 28, 7, 
2019/10/4, 145, , 23, 24, 4, 
2019/10/5, 177, , 30, 25, 6, 
2019/10/6, 124, , 27, 30, 8, 
2019/10/7, 157, , 26, 24, 7, 
2019/10/8, 143, , 26, 33, 7, 
2019/10/9, 151, , 27, 38, 12, 
2019/10/10, 155, , 27, 35, 14, 
2019/10/11, 192, , 25, 34, 10, 
2019/10/12, 170, , 33, 43, 19, 
2019/10/13, 177, , 35, 37, 11, 
2019/10/14, 178, , 32, 32, 6, 
2019/10/15, 167, , 20, 21, 4, 
2019/10/16, 183, , 25, 29, 5, 
2019/10/17, 182, , 29, 27, 6, 
2019/10/18, 163, , 26, 30, 6, 
2019/10/19, 171, , 20, 23, 8, 
2019/10/20, 183, , 32, 25, 17, 
2019/10/21, 188, , 32, 37, 19, 
2019/10/22, 188, , 35, 47, 20, 
2019/10/23, 196, , 31, 38, 6, 
2019/10/24, 177, , 22, 18, 5, 
2019/10/25, 174, , , , , 
2019/10/29, 241, , 3, 54, 14, 
2019/10/30, 343, , 26, 49, 14, 
2019/10/31, 357, , 30, 57, 28, 
2019/11/1, 297, , 32, 58, 17, 
2019/11/2, 258, , 23, 32, 15, 
2019/11/3, 292, , 21, 36, 6, 
2019/11/4, 412, , 28, 38, 8, 
2019/11/5, 343, , 24, 48, 23, 
2019/11/6, 249, , 32, 42, 9, 
2019/11/7, 250, , 35, 50, 8, 
2019/11/8, 247, , 32, 40, 7, 
2019/11/9, 205, , 31, 29, 6, 
2019/11/10, 188, , 36, 40, 7, 
2019/11/11, 220, , 38, 49, 9, 
2019/11/12, 271, , 45, 50, 15, 
2019/11/13, 313, , 42, 42, 9, 
2019/11/14, 281, , 39, 36, 12, 
2019/11/15, 284, , 26, 42, 31, 
2019/11/16, 334, , 27, 18, 7, 
2019/11/17, 206, , 26, 21, 5, 
2019/11/18, 175, , 27, 35, 38, 
2019/11/19, 231, , 37, 41, 27, 
2019/11/20, 278, , 37, 36, 8, 
2019/11/21, 236, , 34, 39, 19, 
2019/11/22, 266, , 33, 37, 29, 
2019/11/23, 286, , 27, 22, 8, 
2019/11/24, 314, , 20, 30, 14, 
2019/11/25, 314, , 30, 37, 9, 
2019/11/26, 284, , 30, 30, 6, 
2019/11/27, 297, , 28, 22, 8, 
2019/11/28, 253, , 18, 20, 4, 
2019/11/29, 128, , 20, 23, 7, 
2019/11/30, 161, , 28, 19, 4, 
2019/12/1, 176, , 27, 24, 5, 
2019/12/2, 187, , 31, 30, 7, 
2019/12/3, 222, , 32, 39, 34, 
2019/12/4, 245, , 33, 34, 8, 
